STREETSEGID;QUADCODE;ST_NAME
1628;2;Monroe St
1629;2;12th St
1630;3;R St
1631;1;32nd St
1634;3;8th St
1635;3;G St
1638;1;Peabody St
1639;1;Hamilton St
1639;1;Hamilton St
1642;3;Livingston Ter
1644;4;Dia Access Rd
1645;4;Jefferson Dr
1646;1;Connecticut Ave
1647;1;Missouri Ave
1647;1;Missouri Ave
1648;3;Morris Rd
1651;3;V St
1653;1;Blagden Ave
1655;2;Edson Pl
1658;3;8th St
1658;3;8th St
1658;3;8th St
1660;1;Park Rd
1661;3;14th St
1662;2;Benning Rd
1663;2;Lincoln Rd
1663;2;Lincoln Rd
1664;2;Benning Rd
1665;1;Fessenden St
1666;1;Fessenden St
1667;2;Polk St
1669;1;50th St
1670;1;Tilden St
1671;1;Woodley Rd
1672;1;1st Ter
1673;1;Klingle St
1674;1;Vermont Ave
1675;4;I St
1676;4;Ohio Dr
1677;1;29th St
1684;1;S St
1686;2;U St
1687;1;5th St
1687;1;5th St
1688;1;Cathedral Ave
1690;1;Reservoir Rd
1690;1;Reservoir Rd
1691;1;42nd St
1692;1;36th St
1695;4;1st St
1695;4;1st St
1696;1;40th St
1696;1;40th St
1703;1;39th St
1705;1;Quebec St
1707;2;G St
1707;2;G St
1708;4;M St
1710;1;39th St
1711;1;West Beach Dr
1712;3;T St
1713;3;Gainesville St
1715;2;Kenilworth Ave
1716;1;New Hampshire Ave
1720;1;P St
1721;1;O St
1724;4;Robbins Rd
1728;1;K St
1730;2;Evarts St
1730;2;Evarts St
1731;3;Young St
1731;3;Young St
1731;3;Young St
1738;3;34th St
1746;1;1st St
1747;1;I St
1748;1;Taylor St
1748;1;Taylor St
1750;1;2nd St
1750;1;2nd St
1752;1;T St
1753;3;30th St
1755;1;15th St
1756;3;Fairlawn Ave
1758;2;S St
1760;1;T St
1761;2;Longfellow St
1765;1;Riggs Pl
1765;1;Riggs Pl
1768;1;Luzon Ave
1769;3;Firth Sterling Ave
1769;3;Firth Sterling Ave
1770;1;Oliver St
1771;2;Newton St
1772;3;Erie St
1773;1;Q St
1775;1;F St
1776;1;30th St
1776;1;30th St
1780;2;Bladensburg Rd
1782;3;Naylor Rd
1782;3;Naylor Rd
1789;1;Kilbourne Pl
1790;1;Oak St
1790;1;Oak St
1792;2;Polk St
1793;2;Sheriff Rd
1794;1;Morton St
1795;1;Irving St
1796;2;Brentwood Rd
1796;2;Brentwood Rd
1797;3;Benning Rd
1800;3;Croffut Pl
1801;1;Meridian Pl
1803;4;Half St
1803;4;Half St
1805;1;Yuma St
1805;1;Yuma St
1807;1;Harvard St
1808;3;I St
1810;2;Girard St
1811;2;Jefferson St
1811;2;Jefferson St
1814;2;2nd St
1814;2;2nd St
1815;3;North Carolina Ave
1817;2;Sycamore Rd
1820;1;10th St
1824;1;W St
1825;2;Constitution Ave
1827;1;Nebraska Ave
1833;1;W St
1833;1;W St
1833;1;W St
1834;1;9th St
1835;1;Grant Cir
1836;1;Taylor St
1838;3;K St
1839;2;I St
1839;2;I St
1841;1;V St
1841;1;V St
1843;3;Minnesota Ave
1843;3;Minnesota Ave
1845;1;Q St
1847;1;27th St
1849;4;Banneker Cir
1850;4;12th St
1850;4;12th St
1852;3;8th St
1857;3;R St
1860;3;37th Pl
1863;2;Banks Pl
1863;2;Banks Pl
1864;2;54th Pl
1866;1;California St
1869;1;36th St
1870;5;North Capitol St
1872;1;19th St
1873;1;Van Ness St
1873;1;Van Ness St
1873;1;Van Ness St
1874;1;Adams Mill Rd
1874;1;Adams Mill Rd
1876;3;Sheridan Rd
1877;2;Girard St
1877;2;Girard St
1877;2;Girard St
1878;2;Constitution Ave
1880;2;Michigan Ave
1884;1;R St
1884;1;R St
1888;2;35th St
1889;1;W St
1890;2;Fort Totten Dr
1892;1;Rittenhouse St
1896;1;19th St
1897;1;Taylor St
1899;3;Benning Rd
1904;1;Kenyon St
1908;1;Newlands St
1908;1;Newlands St
1909;1;11th St
1912;5;South Capitol St
1916;3;Foxhall Pl
1919;3;Minnesota Ave
1920;1;Florida Ave
1921;1;Logan Cir
1925;1;Corcoran St
1926;1;Chevy Chase Pkwy
1926;1;Chevy Chase Pkwy
1928;3;Chicago St
1930;1;Glenbrook Ter
1931;2;Emerson St
1932;2;I St
1933;1;Chain Bridge Rd
1934;3;Mellon St
1935;1;20th St
1936;1;Harvard St
1937;2;Hamlin St
1939;1;S St
1939;1;S St
1940;1;Underwood St
1940;1;Underwood St
1949;4;P St
1950;3;L St
1951;1;Buchanan St
1952;1;V St
1954;1;Yuma St
1956;1;Ingraham St
1958;1;17th St
1958;1;17th St
1960;1;15th St
1961;1;Nevada Ave
1962;1;Dexter St
1963;4;Supply Ln
1965;2;Baker St
1967;1;12th St
1968;1;14th St
1969;3;Hillside Rd
1971;1;19th St
1973;1;Q St
1973;1;Q St
1974;1;R St
1974;1;R St
1975;4;3rd St
1976;3;6th St
1977;2;Bladensburg Rd
1981;2;Franklin St
1982;1;3rd St
1983;1;Delafield Pl
1983;1;Delafield Pl
1985;2;Quincy Pl
1987;2;Kenilworth Ave
1987;2;Kenilworth Ave
1988;1;34th St
